"COLUNA"	"DEFINICAO"
"WikiEspecimenID"	"Identificador Amostra do Wiki"
"IDENTIFICADOR"	"Um identificador curto para a amostra que é composto das três primeiras letras do sobrenome do coletor e do numero e ano de coleta"
"COLLECTOR"	"Nome do coletor da amostra"
"NUMBER"	"Número de coleta do coletor"
"COLLDD"	"Dia em que a amostra foi coletada"
"COLLMM"	"Mes em que a amostra foi coletada"
"COLLYY"	"Ano em que a amostra foi coletada"
"FAMILY"	"Familia botanica"
"GENUS"	"Genero botanico, onde Indet= indeterminado nesse nivel"
"SPECIES"	"Epiteto da especie"
"INFRASPECIES"	"Nome da categoria infra-especifica"
"NOME"	"Taxonomia no nivel de identificacao sem autores"
"COUNTRY"	"Nome do pais"
"MAJORAREA"	"Nome da primeira subdivisao administrativa do pais, provincias, estados, departamentos, cantoes, dependendo do pais"
"MINORAREA"	"Nome da subdivisao de MAJORAREA, geralmente os municipios ou condados"
"GAZETTEER_CURTO"	"Primeira divisão de MINORAREA"
"GAZETTEER_COMPLETA"	"As demais subdivisoes de MINORAREA. Quando houver mais de uma, concatenadas de forma hierarquica do maior para o menor"
"GAZETTEER_SPECIFIC"	"A localidade mais especifica da planta coletada"
"LONGITUDE"	"Longitude em decimos de grau, com valores negativos para posicoes W e valores positivos para posicoes E"
"LATITUDE"	"Latitude em decimos de grau, com valores negativos para posicoes S e valores positivos para posicoes N"
"ALTITUDE"	"Altitude em m sobre o nivel do mar"
"DAPmm"	"DAP em mm, o valor máximo se houver mais de 1"
"ALTURAm"	"ALTURA em metros, o valor máximo se houver mais de 1"
"FERTILIDADE"	"Tipo de material coletado"